"No_Trees","No_Preds","TP","TN","FP","FN","Acc","Pre","Rec","F1"
100,5,2127,2047,453,373,0.8348,0.824418604651163,0.8508,0.83740157480315
100,7,2127,2046,454,373,0.8346,0.824099186361875,0.8508,0.837236764416454
100,10,2131,2056,444,369,0.8374,0.827572815533981,0.8524,0.839802955665025
100,15,2095,2046,454,405,0.8282,0.821890937622597,0.838,0.829867300455536
100,20,2124,2068,432,376,0.8384,0.830985915492958,0.8496,0.840189873417722
100,25,2119,2052,448,381,0.8342,0.82547721075185,0.8476,0.836392342609039
100,50,2059,2045,455,441,0.8208,0.819013524264121,0.8236,0.821300358994815
100,100,2058,2023,477,442,0.8162,0.811834319526627,0.8232,0.817477656405164
100,200,2034,2005,495,466,0.8078,0.804270462633452,0.8136,0.808908331676278
250,5,2148,2077,423,352,0.845,0.835472578763127,0.8592,0.84717018339578
250,7,2136,2056,444,364,0.8384,0.827906976744186,0.8544,0.840944881889764
250,10,2150,2068,432,350,0.8436,0.832687838884586,0.86,0.846123573396301
250,15,2123,2082,418,377,0.841,0.835497835497836,0.8492,0.842293195794485
250,20,2127,2073,427,373,0.84,0.832811276429131,0.8508,0.841709537000396
250,25,2122,2067,433,378,0.8378,0.830528375733855,0.8488,0.839564787339268
250,50,2079,2041,459,421,0.824,0.819148936170213,0.8316,0.825327510917031
250,100,2067,2026,474,433,0.8186,0.813459268004723,0.8268,0.820075381868677
250,200,2051,2022,478,449,0.8146,0.810992487149071,0.8204,0.815669119109167
500,5,2155,2080,420,345,0.847,0.836893203883495,0.862,0.849261083743842
500,7,2160,2064,436,340,0.8448,0.832049306625578,0.864,0.847723704866562
500,10,2148,2066,434,352,0.8428,0.831913245546088,0.8592,0.845336481700118
500,15,2142,2088,412,358,0.846,0.83868441660141,0.8568,0.847645429362881
500,20,2122,2068,432,378,0.838,0.830853563038371,0.8488,0.839730906212901
500,25,2127,2066,434,373,0.8386,0.830534947286216,0.8508,0.840545346769413
500,50,2087,2056,444,413,0.8286,0.824575266693007,0.8348,0.829656131981714
500,100,2074,2026,474,426,0.82,0.813971742543171,0.8296,0.821711568938193
500,200,2059,2028,472,441,0.8174,0.813512445673647,0.8236,0.818525144106539
1000,5,2178,2080,420,322,0.8516,0.838337182448037,0.8712,0.854452726559435
1000,7,2161,2079,421,339,0.848,0.836948102246321,0.8644,0.850452577725305
1000,10,2153,2075,425,347,0.8456,0.835143522110163,0.8612,0.847971642378889
1000,15,2144,2083,417,356,0.8454,0.837172979304959,0.8576,0.847263386682474
1000,20,2123,2081,419,377,0.8408,0.835169158143194,0.8492,0.842126140420468
1000,25,2126,2066,434,374,0.8384,0.83046875,0.8504,0.840316205533597
1000,50,2089,2060,440,411,0.8298,0.826018189007513,0.8356,0.830781467488566
1000,100,2071,2034,466,429,0.821,0.816318486401261,0.8284,0.822314869962279
1000,200,2058,2020,480,442,0.8156,0.810874704491726,0.8232,0.816990869392616
